CountryName,"CountryCode","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
Bahrain,"BHR","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","7624228989.3617","7218871808.51064","6673398138.29787","7098919148.93617","7454123936.17021","7099436702.12766","7183422606.38298","7930427393.61702","8485556648.93617","8516444680.85106","8894404255.31915","9893245744.68085","10555103723.4043","11913546276.5957","11883762234.0426","12350793085.1064","12858411436.1702","13256122074.4681","13891090691.4894","14488407446.8085","15256303191.4894","15636329787.234","16159920212.766","17177420212.766","18376569148.9362","19620478723.4043","20889335106.383","22621888297.8723","24033909574.4681","24644494680.8511","25713271276.5957","26223297872.3404","27200957446.8085","28674388297.8723","29921808510.6383","30778484042.5532","31847579787.234","33058909574.4681","33646276595.7447","",
Bahamas, The,"BHS","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","1942538097.61501","2149750529.0866","2374441850.10686","2624329421.19867","2899925138.96336","3202259632.40815","3492766343.41697","3828006034.15819","4150391651.56298","4523165825.37743","4267622809.06613","4337036067.07757","4185355346.26048","4502084992.61467","3747795359.80247","3193004478.75685","3358567667.13532","3666042159.83818","4185869346.1863","5280026115.10759","5622978696.80712","5104179904.68398","5446103697.7852","5642002872.57775","6441539485.04817","6752613028.89395","6873957500.38138","7079112091.74079","7242618886.04269","7729853744.61442","7606466024.82857","7288379986.19989","7009557035.57321","7031132893.131","7252537335.06422","7570107965.2358","7889833778.37589","8052541057.62784","8432337724.51058","9034753608.33579","9409627491.5515","9656694580.55466","9917865835.46098","9792432526.23075","9878884030.66906","10214307272.5531","10471385975.1648","10622859247.2052","10375987506.7603","9942763009.20556","10095760000","10157636655.8148","10471190626.6066","10162071068.0863","10236918868.1666","10298092269.1718","10344048017.492","10350943821.597","10513014752.9206","",
Bosnia and Herzegovina,"BIH","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2761373561.65399","3335739277.66277","6303135042.93491","8470756370.08874","9792194055.78915","10732244665.0793","11322518168.4331","11820708911.986","12447206515.911","12945094784.6821","13734741266.2131","14937802510.8104","15747023557.6828","16669103897.5046","17573690592.7325","17045996152.5614","17176781336.7644","17332789318.8586","17211525255.8668","17616174497.4845","17818414204.8268","18368686543.375","18946501375.7897","19349615814.4493","20050758075.2917","",
Belarus,"BLR","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31609653425.5172","31230338984.7805","28232226006.2732","26086576309.6993","23034445864.7262","20638863381.5805","21216752516.0832","23635463449.7575","25620840351.69","26491948709.2598","28028482645.7397","29352914216.1911","30833847251.5793","33005534486.7779","36784583396.0769","40242334795.7495","44266566187.7427","48073493773.2612","52976989868.7029","53082941363.8271","57222490768.7143","60300321142.6581","61317669289.2363","61932974220.8466","63002175707.5324","60589462935.5585","59058702608.9202","60554177331.8333","62461148027.2823","",
Belize,"BLZ","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","97311899.8119362","102072667.717838","107066728.320409","112373420.254259","117991956.318196","123809598.055526","129716362.213732","136089486.850651","146115506.170412","153576711.543229","160960208.91248","167333333.549399","184431961.995488","194302565.308117","220649964.352333","228577530.203862","228499765.971639","243344468.713708","262619314.860253","282360465.256852","320300342.39954","323931814.227023","323582905.881669","316647941.857954","322892445.17278","326161776.108407","340967749.546492","377571674.454548","414527300.438458","468454073.598959","522061094.257405","581910368.240373","652085531.125267","693008410.103248","694105881.024817","698577577.406598","708554734.023683","733670669.257403","761114695.793337","827932951.644284","935726322.895292","982658470.872654","1032969455.06008","1129324343.13489","1181816324.45859","1212283653.40824","1267825645.75759","1281842550.21565","1323231396.07175","1332107651.8192","1377179137.31754","1406962107.28643","1448296017.74493","1460634553.029","1514566606.47957","1566545782.45412","1557334122.76942","1579717513.97324","1627668317.16407","",
Bermuda,"BMU","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","1236024650.86844","1293870604.52905","1351706620.55154","1366169881.39142","1517951355.21397","1590205839.72223","1818617223.97319","2060039383.27642","2103408633.45069","2175690717.0744","2313026675.95958","2392536967.94565","2435906218.11992","2472047259.93172","2493731885.01891","2587698593.72971","2819001261.32568","2985250053.66029","3028619303.83456","3093673179.09591","3339432263.4166","3418942555.40268","3238237346.34334","3303291221.60469","3319193280.00197","3252693763.06806","3469540013.93931","3599647764.46201","3745657573.382","3762282452.61539","3763005273.45173","3630006239.58401","3627837777.07534","3736983723.34719","3759391169.27049","3924772345.29896","4026835109.98094","4212069525.04015","4376340236.51672","4524376453.24803","4945919646.2653","5303135527.75517","5224766301.37623","5402967729.76868","5528385008.41416","5620941625.4668","5932559093.07918","6101393205.83452","6194616021.02816","5867281536.74729","5744414000","5552579615.57093","5284137923.53055","5151445059.9242","","","","","","",
Bolivia,"BOL","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","3676733642.10252","3753551488.66047","3962959042.97599","4232346168.42418","4399803030.18928","4615984798.22048","4946978126.99362","5259489594.76929","5708094766.25371","5963480481.85532","6275431893.23715","6593178122.71294","7118488614.69433","7527030174.28887","7748292330.78603","8314771356.62179","8698462092.14427","9130881401.37437","9318310508.23123","9330735920.26726","9202739205.92012","9228103797.76153","8864632688.12718","8506313732.94432","8489243603.23777","8346931014.88803","8132091480.78708","8332423696.09193","8574855959.99054","8899854152.23731","9312432337.00174","9802874144.35443","9964278166.45114","10389682466.0544","10874597044.0412","11383340336.3661","11879806859.9085","12468357290.0133","13095434908.7955","13151337955.4457","13481148202.0608","13708143902.0779","14048868708.0998","14429781404.2691","15031978651.7184","15696607781.9891","16449575496.8069","17200397083.6177","18257963015.8351","18870883064.1337","19649631450.6819","20672217124.522","21731104864.155","23207953294.4786","24475239169.1195","25664047552.5822","26758341881.7252","27880910346.8608","29058495427.5788","",
Brazil,"BRA","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","246661854226.253","272008608204.741","286196738836.702","288700023271.673","298762900195.275","307885589183.513","320663950240.226","336425435318.519","374869719821.502","411366386806.025","447443002845.25","497982078591.116","558002873764.336","636004374891.996","693512655666.751","729638256284.47","801072834269.764","837972796917.598","865053643933.736","923585638585.237","1007733158115.63","963459840853.251","969050273738.546","936007660747.578","985327244285.169","1063619984888.47","1148585088075.65","1189929895357.39","1188708161986.97","1227691357100.6","1189604001251.3","1207590067132.79","1201951669565.71","1258024746134.61","1325134726637.11","1383662367610.28","1414207205945.88","1462217362494.31","1467161088733.51","1474026486641.66","1538706023647.11","1560092443326.51","1607729271032.29","1626070712767.17","1719731810823.1","1774799882787.63","1845117253979.08","1957113483856.3","2056812669849.93","2054224952705.78","2208871646202.82","2296661602091.86","2340783923772.17","2411120883015.01","2423271865109.14","2337348378410.64","2260778787687.59","2290685930650.3","2320859395463.85","",
Barbados,"BRB","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","2730280859.77856","2678405523.44276","2795189655.82535","2896996214.7005","3038280962.06037","3278092725.57693","3421445845.13245","3356446873.9404","3191949477.61589","3207949224.37086","3323447396.25828","3359946818.54304","3531444104.07285","3622942655.82781","3749940645.69536","3884938508.9404","3756440542.81457","3609942861.5894","3404446114.2053","3431445686.8543","3500444594.7351","3570943478.87417","3712941231.3245","3888938445.62914","4033936150.59603","4047435936.92053","4227433087.91391","4127434670.69536","4159934156.29139","4250432723.87417","4310431774.2053","4480929075.56291","4734925055.29801","4822923662.45033","4866922966.02649","4630426709.30464","4529928300","4493928869.80132","4490928917.28477","4429429890.69536","4421930009.40397","4519428466.19205","4622426835.92715","4614426962.54967","4591427326.5894","",
Brunei Darussalam,"BRN","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","7076283755.04218","7101437330.39971","8532760029.33627","9464255592.2259","10105537880.4547","12385592665.9333","11519009534.2868","9235168243.49102","9600571983.86506","9648715584.89183","9706595966.2633","9561894976.16429","9302244591.12579","9489138760.54273","9593269453.61204","9490220608.72755","9593609020.9021","9895418335.16685","10366299816.6483","10397872753.9421","10724927172.7173","11205265273.194","11527788412.1746","11358194866.1533","11294758342.5009","11639492115.8783","11971150348.3682","12299643564.3564","12775897689.769","13146904070.407","13213206307.2974","13264408434.1768","13847739933.9934","13869146021.2688","13600124165.7499","13360145141.1808","13707370737.0737","14220755408.8742","14350568390.1724","14045471213.788","13715438210.4877","13637697103.0436","13301457645.7646","13478181151.4485","13485221855.5189","",
