Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Norway,81653,3448820322,82926,7686848655,83673,6373278805,83941,3655844552,86759,1419589431,88432,620117153,89828,4251724899,91565,7333981819,90862,3997055782,88174,1578783654,87693,7900658099,87413,1769952234,88604,5746477835,88444,8949826154,89175,4995531209,90029,3556416645,90195,9636789416,91549,0378687312,92119,522964297
Pakistan,824,732863891439,820,140313156535,826,368419899345,846,361816862316,888,011285632856,934,391947051063,969,621801590101,993,551673725814,987,8456798175,993,382943724454,987,409723043923,992,878139474556,1006,07328865598,1028,44108649159,1054,22797401501,1081,29436599486,1117,51755461945,1155,36335971089,1197,84274427141
Poland,8526,27767951191,8635,06440277765,8815,44166986349,9135,65173149969,9610,44725710691,9950,57655610778,10572,1840305202,11322,065805786,11801,5997382439,12126,2156068515,12599,5335818707,13224,5690913933,13437,2399417066,13632,4979479006,14095,4311919181,14646,322069642,15101,5619514442,15845,2485992973,16660,9982700431
Portugal,21497,5003013363,21761,3312991524,21809,3243059624,21525,4231640472,21858,1244451664,21988,1886042426,22305,2443540489,22819,5034629579,22859,369166292,22124,5799752985,22498,6908586557,22149,6305813295,21337,285874814,21256,7594017088,21540,9879486565,22018,0094899911,22533,6322864628,23380,6928324749,23989,8559479384
Russian Federation,6491,08604208632,6851,13236335551,7206,21187726717,7767,4244273894,8360,26685352336,8929,31915918756,9693,20523021194,10535,1277226814,11087,8222958404,10219,8947422279,10674,9972024184,11125,3477045495,11517,5913066266,11699,9694301747,11573,4966152019,11282,0580982509,11298,4837368416,11469,6743381277,11729,0891004034
Saudi Arabia,18352,0271397081,17669,1180001687,16696,4103852427,18034,7245219,18901,0131046053,19381,8519639916,19367,5827543478,19187,8067947643,19832,6513319799,18883,199839421,19262,5476811757,20553,9053742869,21006,6370090538,20929,4968686761,21087,3544126826,21399,1040061512,21270,4677240931,20693,9412380735,20819,7445742964
Senegal,1114,07672396631,1137,43879152045,1117,32196892836,1162,84757014753,1200,5241354457,1236,00639372664,1233,92569041341,1261,09146625518,1277,52659987457,1269,32590018977,1278,97775413162,1262,22104287931,1290,36339132729,1290,15642128557,1337,40669025411,1383,16720580769,1430,3623952953,1489,37203058435,1546,52015893317
South Africa,5937,6260860986,6017,17784586121,6161,46631380485,6266,01573980923,6472,10703408701,6729,8274660259,7017,71490394165,7299,02003724481,7432,11676075707,7216,67969294747,7328,61562893966,7454,72016478301,7500,04106663005,7563,99277707639,7582,69692889496,7556,78857882235,7476,62101155809,7476,38632385801,7433,61539826952
Spain,28408,8067685172,29321,8888343637,29700,1558750311,30037,6248621551,30445,7488586839,31028,9967719752,31760,6025390822,32301,9690040863,32072,7645931733,30593,609837519,30502,7197080776,30146,9992402473,29235,8286869685,28910,7558426965,29398,6103065297,30549,7918140542,31449,284169363,32282,9038470243,32898,32962384
Sweden,44694,4266636299,45228,9145664485,46071,988322463,46931,170298719,48769,2875330134,49981,2973402206,51988,4303333853,53374,8195318189,52832,3073207372,50164,9258803343,52817,441365794,54020,1233844844,53283,6359095402,53408,7904573764,54334,2846322666,56139,494890742,56776,2939080977,57367,4278960444,57966,6964707884
Switzerland,67807,9875672249,68264,4837722217,67860,2028762993,67385,2509078999,68781,6138445516,70471,4099982599,72823,8698275553,75143,6563827009,75793,6181645052,73189,1745799718,74605,7745091454,75029,7700621972,74984,1892305521,75499,7560234501,76410,8777651423,76553,3179560058,77026,3021918744,77684,0662772937,79245,2096953276
Thailand,3458,34940546633,3544,43849135551,3731,26452885342,3969,7283231286,4190,47915884454,4337,87871121315,4525,9588034838,4745,30443046598,4801,87675876636,4744,75659329577,5076,34299245077,5094,4667683787,5437,87091479318,5558,72395316176,5589,31172026118,5741,33966351835,5911,95121449317,6128,65815796911,6361,62499026563
Tunisia,3001,77802847949,3088,51409364116,3104,8409694214,3226,6462709814,3401,51747933244,3490,68397747258,3639,73069479715,3844,92821499035,3965,64828951732,4043,14643519898,4141,97635336459,4022,237688257,4142,49443137775,4220,38983542652,4302,48654422817,4308,41559599821,4314,95335527552,4343,92364166772,4401,05718965754
Turkey,8237,59921003387,7631,55870626438,8003,45420949351,8331,57377751721,9009,47262653768,9692,1205859385,10252,3604872223,10640,4228254817,10602,8565804674,9976,15052032183,10672,3892452162,11678,1307891989,12039,2957021975,12842,1637572384,13277,7607704323,13853,0971347501,14062,7337885439,14874,7825351792,15068,982383455
Ukraine,1817,99710109357,2005,38299185019,2131,7291662224,2353,60427976465,2658,68970906821,2758,52048439767,2983,85729494731,3229,65291745049,3322,00383583021,2844,3232799853,2965,14236549771,3138,46507001494,3153,73924469198,3160,08373580159,3123,91557226248,2828,88539029976,2909,64621521722,2994,52418477299,3110,19464582486
United Arab Emirates,63251,5229870394,60861,2659986951,59187,2069291283,60351,1400473437,60328,3205264375,56092,9202185986,53335,0315740292,47283,9032785233,42456,7958854415,36024,0582294666,33893,303514039,34634,8621429885,35416,8917844949,36978,8330410358,38495,0463535702,40247,7471423171,41045,1111167209,40697,8180580012,40782,4436240123
United Kingdom,35672,9119698864,36592,8090728001,37285,177876807,38331,6056825266,39018,9510392376,39984,1674392449,40798,0653018924,41465,5454970381,41024,8110611627,38986,144513023,39435,8399018505,39731,4892839943,40039,7002444533,40623,3596766643,41376,754247755,42017,1410723715,42499,776417239,43010,706337795,43343,2675588278
United States,44726,9653978293,44728,5974752274,45087,3672785317,45980,514584919,47287,593772018,48499,8123762908,49405,7672958456,49856,2814911902,49319,4788649957,47648,8132503916,48467,5157769259,48866,0532770682,49603,2534736283,50171,2371330963,51028,8248952647,52116,7388127741,52555,5180315007,53382,7648234859,54659,1982683462
Uruguay,9001,7500477883,8640,77851986829,7971,3137761405,8041,24017800451,8449,20908935891,9078,63745609633,9440,50698017137,10038,8950929108,10732,011276611,11155,8452473939,11992,0166266335,12574,9035699536,12981,1401128346,13541,207109277,13934,576170547,13938,7900689227,14124,1438576163,14437,3846912687,14617,464002064
